Department,Department_Name,Division,Gender,Base_Salary,Overtime_Pay,Longevity_Pay,Grade
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 2 Security,F,65405,1120.27,0,C5
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,75771.7236,0,0,17
FRS,Fire and Rescue Services,FRS 45 Station 15,M,73525,2523.14,0,F3
FRS,Fire and Rescue Services,FRS 45 Station 12,M,106504,47547.16,3665.54,F4
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,57121.3,0,0,16
LIB,Department of Public Libraries,LIB 71 Quince Orchard Library,F,89434,0,0,N25
POL,Department of Police,POL 47 FSB Security Services Division,M,64166.5466,9094.35,0,16
CCL,County Council,CCL 01 Council Central Staff,M,69333,202.37,0,N17
HCA,Department of Housing and Community Affairs,HCA 76 Housing Code Enforcement,M,117424,0,0,N25
OLR,Office of Labor Relations,OLR 26 Office of Labor Relations,F,171540,0,0,M2
HCA,Department of Housing and Community Affairs,HCA 76 Housing Landlord and Tenant Mediation,F,117424,0,9367.17,25
LIB,Department of Public Libraries,LIB 71 Rockville Library,F,34721,0,2748.91,13
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,81594.94,0,0,17
LIB,Department of Public Libraries,LIB 71 Kensington Park Library,F,31984.7229,0,0,18
OLR,Office of Labor Relations,OLR 26 Labor Relations Division,F,117424,271.86,0,N25
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,79522.155,0,0,21
LIB,Department of Public Libraries,LIB 71 Connie Morella Library,M,30062.57,0,0,13
CEX,Offices of the County Executive,CEX 15 Business Advancement Team,F,99846.78,0,0,N25
DEP,Department of Environmental Protection,DEP 80 Administration and Operations,F,111124.85,0,0,N25
POL,Department of Police,POL 47 PSB 5th District Patrol,M,109649,20058.75,0,P5
HHS,Department of Health and Human Services,HHS 60 Office of Community Affairs Division,F,85102.3,0,204.79,18
POL,Department of Police,POL 47 ISB Special Victims Investigations Division Family Justice,M,104428,8397.26,0,P4
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,90517,24358.69,0,T2
POL,Department of Police,POL 47 PSB 3rd District Patrol,M,108084,21582.63,7405.6,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,124833,12073.48,13310.7,A1
FRS,Fire and Rescue Services,FRS 45 Station 10,M,90386,0,0,F3
POL,Department of Police,POL 47 MSB Communications Division,M,63439.3193,31188.25,0,19
LIB,Department of Public Libraries,LIB 71 Collection Management,M,25068.9179,0,0,13
POL,Department of Police,POL 47 MSB Communications Division,F,98228,2848.66,1596.27,N21
FRS,Fire and Rescue Services,FRS 45 Field Recruits,M,58113,104.78,0,F1
DPS,Department of Permitting Services,DPS 75 Commercial Electrical and FPS Inspections,M,112267.0045,808.81,0,24
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,83017,12775.59,0,T1
FRS,Fire and Rescue Services,FRS 45 Duty Operations Chief's Office,M,167306,912.23,16451.47,B4
